Content,Date_Posted,Date_Replied,Date_of_Experience,Name,Ratings,Reply,Review,Title
"The Stripe tech was very nice and tried his best to help me, but I had to leave after about 45 minutes so I didn't get the problem solved.  It was so good to talk with a live human!!!",2024-04-30T14:09:26.000Z,2024-04-30T14:21:18.000Z,"April 23, 2024",Pat D,Rated 4 out of 5 stars,"Hi Pat, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",1,Live Human…
I had an issue with verification of ID and home address of business owners. I have contacted support and received a call within seconds. The agent was very helpful and we resolved the problem during a 30 min phone call. Ono of the best support experience i ever had.,2024-04-30T14:05:46.000Z,2024-04-30T14:13:54.000Z,"April 26, 2024",Gordan N,Rated 5 out of 5 stars,"Hi Gordan, we’re thrilled to hear about your positive experience. Thanks for sharing!",1,I had an issue with verification of ID…
"I would like to share my experience using Stripe customer support. Very fast response, we found solutions very quickly and I was very satisfied. Now I know that I can contact Stripe for any issues and they will help me to find solutions. I recommend using the support, because there you will always be helped with the solution ❤️.",2024-04-30T14:05:01.000Z,2024-04-30T14:13:55.000Z,"April 25, 2024",Karyna D,Rated 5 out of 5 stars,"Hi Karyna, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",2,I would like to share my experience…
"The account was closed suddenly due to the fact that it had a Hi-Res, even though I am a website designer and there is no Hi-Res and my clients are known.",2024-06-14T12:51:41.000Z,2024-04-30T11:17:39.000Z,"April 29, 2024",Details Cloud,Rated 1 out of 5 stars,"Hi there, we're sorry about your negative experience using our service. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate. Please email us at heretohelp@stripe.com with your account details, and we’ll take another look from our end.",1,Money back for the customer!
I can’t verify my id trough the stipe express dashoard and the customer service is not reading/listening what I’m saying. So now I’m asking to pay back the customers and cancel the last two orders but they won’t do it. They just keep going back in the circle that I have to verify my id and send more business documents. I just want to close my account and for the customers to be refunded! They just don’t listen. It’s been going on for like a week now. I’m happy to send my id trough email because their platform is just not working.,2024-04-30T08:39:31.000Z,2024-04-30T09:02:24.000Z,"April 30, 2024",Coen,Rated 1 out of 5 stars,"Hi Coen, we’re sorry to hear you're having trouble completing the verification process. We've received your email, and we'll continue assisting you from there. We are still actively looking into your case and we will let you know as soon as we have any updates to share. If you have any follow up questions feel free to reach out to us directly at heretohelp@stripe.com.",1,I can’t verify my id trough the stipe…
"To whom it may concern,",2024-04-30T08:09:52.000Z,2024-04-30T08:33:35.000Z,"April 29, 2024",LA MAISON,Rated 1 out of 5 stars,"Hey there - we're sorry to hear that. Businesses that are deemed high-risk are unsupportable on the Stripe platform. Please email us at heretohelp@stripe.com with your account details, and we’ll take another look from our end.",2,"To whom it may concern,"
Just in case you wanted to know a thief is. I cant even refund the customer. Stripe is openly admitting they will steal the customers money.,2024-04-30T04:05:37.000Z,NA,"April 24, 2024",Marvin Kassab,Rated 1 out of 5 stars,NA,2,Just in case you wanted to know a thief…
"If you are a small business owner, using Stripe is like giving your money to a random person on the street and hoping they don't run off with it. ",2024-04-29T21:00:33.000Z,NA,"December 25, 2023",Alec Monsegur,Rated 1 out of 5 stars,NA,2,Read Before It's Too Late
"this is my second acoount, very bad experience with stripe.. bad service im not recomend for any business this service trust me this is very poor service ",2024-04-29T12:55:38.000Z,2024-04-29T13:02:51.000Z,"January 01, 2024",Imondilshan Razook,Rated 1 out of 5 stars,"Hi Imondilshan, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. We'd like to take a second look at your concern. Please email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",1,Very very bad service 
"Stripe holding my funds for 180 days  and the max time limit has been passed according to the UK dabit card and credit card policy for refund and dispute ... The day stripe closed my account was 30 October 2023 , so In total it's 180 days passed .",2024-04-29T11:36:39.000Z,2024-04-29T11:55:45.000Z,"April 29, 2024",Gajanand Dudy,Rated 1 out of 5 stars,"Hi Gajanand, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. We'd like to take a second look at your account from our end. Please email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",2,Stripe holding my funds for 180 days …
"Hello, Stripe! I have found out there are some fraudaulent activities going on with some crypto scamm company in Moldova, Chişinău using your PSP to get money from honest people in Romania and not only. Please check the oder numbers: *3C6QRI under bstan1866@gmail. and see who are you working with. Please let me know as well, I will file a complaint to the Police because it's a serious mattter. Also, I have another oder number wich you can check: *3C8W9S under the e-mail george.dragomir12@yahoo",2024-04-27T09:16:11.000Z,NA,"April 27, 2024",Stan Bizadrea,Rated 1 out of 5 stars,NA,1,Scamm Fraudulent company
Fake 5star reviews fraud company.,2024-04-27T09:11:43.000Z,2024-04-27T09:45:16.000Z,"April 27, 2024",Rushi,Rated 1 out of 5 stars,"Hi Rushi—sorry to hear you are having issues receiving your payouts. We have received your email, and we're looking into this. We'll get back to you as soon as we have an update.",1,Fake 5star reviews fraud company.
stay away at all costs use quickbooks I an not comparing your fees to swipe in person. Your fees are half a percent higher at least. ,2024-04-27T08:42:16.000Z,2024-04-27T07:51:54.000Z,"April 25, 2024",Cameron Sprenger,Rated 1 out of 5 stars,"Hi Cameron, we’re sorry you feel that our fees are high. If it helps to know more about how we came to our default pricing, we regularly research the pricing of other online processors for card-not-present transactions, and our fees are competitive with some of the larger companies. If you're comparing our fees to a card-present service, we (and other card-not-present transaction providers) will always have higher fees due to the risk involved with processing cards online. Please visit https://stripe.com/pricing for more information on pricing for each of our products. You can also email us at heretohelp@stripe.com so we can check why your Stripe fees increased.",1,stay away at all costs use quickbooks 
"This company does not protect the sellers at all - their customers who bring them money. The support service is a complete zero, with standard response phrases, without any insight into the situation.",2024-04-27T06:56:00.000Z,2024-04-27T07:07:51.000Z,"April 24, 2024",Mykolas,Rated 1 out of 5 stars,"Hi there, we're sorry about your negative experience and the dispute you're facing. We'd like to understand further, feel free to reach out to us directly at heretohelp@stripe.com, and we'll follow up to assist with the dispute. Here are some best practices for fraud prevention: https://stripe.com/docs/disputes/prevention/best-practices and you can consider using Stripe Radar: https://stripe.com/docs/radar to reduce incidents of fraud.",9,This company does not protect the…
Here is a chat with Stripe Customer Service during which they inform me that they cannot explain why they are deducting money out of my checking account until AFTER the withdrawal has alread occurred. Unbelievable.,2024-04-26T21:26:49.000Z,2024-04-26T21:35:56.000Z,"April 26, 2024",Professional Gambler,Rated 2 out of 5 stars,"Hi there, we apologize for the less than ideal support experience you’ve had. If you send us an email at heretohelp@stripe.com, we’d be more than happy to assist you with this.",6,LOOK: Chat w/ Cust Svc Confirms Stripe Takes Your Money Even When They Cannot Explain What It Is For!
Worst experience with platform.,2024-04-26T18:14:40.000Z,NA,"April 26, 2024",UK,Rated 1 out of 5 stars,NA,2,Worst experience with platform.
"Got into an endless loop with their Customer Service trying to verify my EIN.  Sent official IRS document and copies of passport for verification.  They don't seem able to communicate what they are looking for in addition, or if it's even being processed.  I will find ANY other payment platform than this one after this garbage experience.",2024-04-25T23:38:38.000Z,2024-04-25T23:49:40.000Z,"April 25, 2024",Fred Scuttle,Rated 1 out of 5 stars,"Hi Fred, we're incredibly sorry the experience has been less than positive here. We'd like to help in any way we can—feel free to reach out to us directly at heretohelp@stripe.com, and we'll follow up to assist with your verification concerns.",4,"Endless loop Customer ""Service"""
Not responding to emails after holding 2000£ in stripe account.,2024-04-26T01:08:41.000Z,2024-04-25T22:45:42.000Z,"April 24, 2024",Ukrecrui,Rated 1 out of 5 stars,"Hey there, we're sorry about your negative experience using our services. There may be several reasons why a payout is delayed. Also, businesses that are deemed high-risk are unsupportable on the Stripe platform. On the other hand, we can see the email that you've sent us, and our team is currently working on your case. We'll reach out to you once we have an update.",2,Not responding to emails after holding…
Original post:,2024-06-07T06:16:31.000Z,2024-04-25T17:41:21.000Z,"April 24, 2024",Eugene Gri,Rated 1 out of 5 stars,"Hi Eugene, we’re very sorry to hear that. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate. Please email us at heretohelp@stripe.com, and we’ll be happy to take another look.",1,This is just bad and without any explanations.
"While the platform itself may be very good and well developed, the support team is extremely slow and move away their responsibility on other agents that can't solve the problem either. Right now my funds in SEK have been somewhat held in hostage without me being able to payout due to minimum payout threshold being extremely high. I asked them to convert my SEK to EUR with the 2% conversion rate. After confirming me in livechat they could fix this but the ticket / matter had to be moved over email it took them 1 week to respond saying ""Ohh I see you have connected an SEK bank so I would assume you have fixed the problem""....",2024-04-25T13:39:23.000Z,2024-04-25T13:59:04.000Z,"April 25, 2024",Pontus Bagge,Rated 2 out of 5 stars,"Hi Pontus, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. It appears that you already have an open support ticket with us and our team is still actively working on your case. We'll follow up and reply to you via email as soon as we have an update, and we’ll continue to offer you support there. Thank you for your patience and understanding.",3,Terrible customer support
"This Stripe company is a scam. They have withheld $8k from us with the reason being ""Due to the high risk of losses associated with charges on your account, Stripe is unable to release these funds."" What kind of losses are associated with that amount? A damn rip-off payment company.",2024-04-25T05:38:20.000Z,NA,"April 25, 2024",Thuy Hoàng,Rated 1 out of 5 stars,NA,2,This Stripe company is a scam
Beware: Stripe's Unfair Practices Will Hurt Your Business,2024-04-25T04:58:25.000Z,2024-04-25T05:17:44.000Z,"April 24, 2024",Brooke Alexandra,Rated 1 out of 5 stars,"Hi Brooke, we're incredibly sorry the experience has been less than positive here. Your feedback regarding the slow and robotic response from the support team will be shared with our team so further training can be provided. We hope we can avoid similar incidents in the future.",1,Beware: Stripe's Unfair Practices Will Hurt Your Business
DO NOT USE STRIPE!!!!,2024-04-24T22:44:20.000Z,2024-04-24T22:53:03.000Z,"April 24, 2024",Fernanda Barqueta,Rated 1 out of 5 stars,"Hi Fernanda, we’re very sorry to hear that. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or accounts with a high dispute rate, and Stripe may put a hold of the funds if they are deemed high-risk to mitigate potential future disputes. Please email us at heretohelp@stripe.com, and we’ll be happy to take another look.",1,DO NOT USE STRIPE!!!!
"Our stripe account was for a ""Review"" for having 1 chargeback and won't allow us to process any more transactions. I am very okay with it. What disgusts me the most is that our last transaction of 1400 has a scheduled payout but they canceled it.. which is okay, still. But where is the money? Our client has never received it. I have been sending countless emails but still no reply. I cannot call them! No one has got back to me! NO SHAME!!! ",2024-04-24T20:55:38.000Z,2024-04-24T21:13:08.000Z,"April 01, 2024",Diana Thompson,Rated 1 out of 5 stars,"Hi Diana, we’re very sorry to hear that. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or accounts with a high dispute rate, and Stripe may put a hold of the funds if they are deemed high-risk to mitigate potential future disputes. In addition, it also looks like our team has already sent you an email with regard to this.",1,NO TO STRIPE!!!!
Our payment is stuck and there is no way to refund it back to client or get a payout.,2024-04-24T20:00:15.000Z,2024-04-24T20:14:59.000Z,"March 01, 2024",Shah Abdullah,Rated 1 out of 5 stars,"Hi Shah, Stripe may put a reserve on an account if it is deemed high risk to mitigate against potential future disputes. We are sorry that we cannot provide further help.",1,Our payment is stuck and there is no…
"Great contact, okay!",2024-04-24T19:24:06.000Z,2024-04-24T19:41:16.000Z,"April 20, 2024",Tariq Martinez,Rated 5 out of 5 stars,"Hi Martinez, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",2,Information
"Fantastic idea! Exactly what I was looking for. Sadly, the AI generated communication along with the absolutely disregard for over a dozen detail reviews explaining my business nor intentions are illegal or in violation of their terms. ",2024-04-24T18:50:22.000Z,2024-04-24T19:21:46.000Z,"April 24, 2024",Julien Collet,Rated 1 out of 5 stars,"Hi Julien, we’re sorry to hear this. However, please be informed that we’re unable to support this type of business as it falls under our Restricted Businesses List under the category Financial Products and Services. You can go through this list here: https://stripe.com/legal/restricted-businesses.",2,Fantastic idea - terrible execution
Reliable and trustworthy payment provider! Thanks! ,2024-04-24T18:15:00.000Z,2024-04-24T18:25:16.000Z,"April 24, 2024",Jennifer Schmidt,Rated 5 out of 5 stars,"Hi Jennifer, thanks for your wonderful feedback! We appreciate the kind words.",2,Reliable and trustworthy payment…
After receiving an information of my Stripe Account being closed. I got notified that in the next 180 days I will receive a payout to my bank account and afterwards Stripe account will be closed. It's been around half a year later and I'm still waiting for my funds. I have over $2.5k frozen on this account.,2024-04-24T16:30:09.000Z,NA,"December 24, 2023",Hubert Śliwa,Rated 1 out of 5 stars,NA,2,Holding My Funds
"Stripe has been holding my money for over 180 days. I processed a single payment from a customer, Stripe shut down my account right away and told me they had to hold the funds for 180 days, it has now been almost 9 months. ",2024-04-24T17:18:42.000Z,2024-04-24T16:39:59.000Z,"April 23, 2024",David Andrews,Rated 1 out of 5 stars,"Hi David, we're sorry to hear this. Stripe may put a reserve on an account if it is deemed high risk to mitigate against potential future disputes.",3,Holding Funds For Over 180 Days
FRAUD - KEEPING MY MONEY WITHOUT ANY REASON!!! ,2024-04-24T15:45:18.000Z,NA,"March 05, 2024",August Christensen,Rated 1 out of 5 stars,NA,1,FRAUD
"I do social media management, I have been using PayPal normally for months. Yesterday, I decided to add Stripe, openend an account, did the ID verification and my account got closed immediately.",2024-04-24T13:26:35.000Z,2024-04-24T13:46:11.000Z,"April 23, 2024",Najmeddine Darmi,Rated 1 out of 5 stars,"Hi Najmeddine, we’re sorry to hear that you've experienced this issue. Businesses that are deemed high-risk are unsupportable on the Stripe platform. You can email us at heretohelp@stripe.com, and we’ll be happy to take another look into this for you. Please be sure to include ‘Trustpilot’ in the subject line. ",4,Stripe has no customer service.
great person whho teach me,2024-04-24T12:22:43.000Z,2024-05-16T01:02:00.000Z,"April 23, 2024",Khairul Adzhar B,Rated 5 out of 5 stars,"Hi Khairul, we're happy to hear you're enjoying the service and really appreciate your feedback. If there's anything we can do to assist you going forward, please don't hesitate to get in touch with our support team at https://support.stripe.com/contact",1,payout
"Tyler helped me.  I thought my question regarding two-factor authentication and transfer of ownership from me to another person was complex.  I was startled by how well Tyler could help me.  He could walk me through certain screens and pop-up windows.  It was as if he was visualizing my screen and telling me very clearly what to do at each juncture.  I could only think, How is it possible we can have this good a communication about a complex topic, separated as we were by probably thousands of miles and my not-always hearing things (and having to ask Tyler to repeat things).  Tyler was so perfect in the help he gave me.  Never showed impatience; frequently gave me a gentle reassurance.    Was remarkable.",2024-04-24T01:05:51.000Z,2024-04-23T22:16:29.000Z,"April 20, 2024",Alan Rodgers,Rated 5 out of 5 stars,"Hi Alan, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",1,Tyler helped me--was really great.
"I love Stripe. I love the updates that my $ is on its way, the ability to create sales links per product, and the site, which was okay to navigate with some attention to the instructions. ",2024-04-23T18:42:23.000Z,2024-04-23T19:26:28.000Z,"April 23, 2024",Trudy Beerman PSI,Rated 5 out of 5 stars,"Hi Trudy, we're happy to hear you're enjoying the service, and we really appreciate your feedback.",2,I love Stripe
"I thought Paypal was the worst company to work with but Stripe seems to be the same if they are allowed to close ur account just by their will and instead of payout the services you provide to your customers they refund them, making you in a bad spot basically a scam cuz you provided the service and they refund to the customer. ",2024-04-23T18:25:30.000Z,2024-04-23T18:40:31.000Z,"April 23, 2024",Emanuel Pereira,Rated 1 out of 5 stars,"Hi Emanuel, we’re very sorry to hear that. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate, and Stripe may hold funds on an account if it is deemed high-risk to mitigate potential future disputes. Please email us at heretohelp@stripe.com, and we’ll be happy to take another look.",4,I thought Paypal was the worst company…
"The platform claimed daily payouts, but then, due to unknown reasons, they voluntarily changed this period to 1 week for my balance. No notifications, just ""because we can"" logic.",2024-04-23T18:21:27.000Z,2024-04-23T19:08:50.000Z,"April 23, 2024",Bernuhov.com,Rated 2 out of 5 stars,"Hi there, we apologize for the confusion. For context, if the payout schedule is set to payouts paid daily, it does not mean the payouts will arrive the next day. Payouts will arrive at the bank according to the payout schedule of the account. You can also check out this document [0] for common questions about payout schedules.",5,The platform claimed daily payouts
 ,2024-04-23T15:57:24.000Z,2024-04-23T16:55:48.000Z,"April 10, 2024",Salahudin W,Rated 1 out of 5 stars,"Hi Salahudin, we apologize if it takes us too long with your business website verification. We understand how important this is and would like to look into it for you. Please email us at heretohelp@stripe.com.",1,Takes too long to verify website
"Customer service was quick to respond, and suggested who I should reach out to to help me resolve the situation.",2024-04-23T15:46:30.000Z,2024-04-23T15:56:09.000Z,"April 05, 2024",Mari-lyn H,Rated 5 out of 5 stars,"Hi Mari-lyn—we're happy to hear you're enjoying the service and really appreciate your feedback. If there's anything we can do to assist you going forward, please don't hesitate to get in touch with our support team or via email at heretohelp@stripe.com.",1,Customer service was quick to respond
Had amazing experience recently with the Stripe support. They have helped me get to resolve the issue where the transaction was blacked. Thank you stripe for quick resolution.,2024-04-23T15:24:04.000Z,2024-04-23T15:39:08.000Z,"April 15, 2024",Apurva S,Rated 5 out of 5 stars,"Hi Apruva, we're happy to hear about your amazing experience with the support team and really appreciate your feedback. If there's anything we can do to assist you going forward, please don't hesitate to get in touch with our support team or via email at heretohelp@stripe.com.",1,Had amazing experience recently with…
I pointed these fraudulent purchases out to Stripe way before they picked them up! ,2024-04-23T14:35:53.000Z,2024-04-23T15:08:15.000Z,"April 22, 2024",susane w,Rated 1 out of 5 stars,"Hey Susane, we're incredibly sorry the experience has been less than positive here. Payments can fail for a variety of reasons. We'd recommend checking your Payments page on your Dashboard for a reason for each decline. You can learn more about declines here: https://stripe.com/docs/declines. We'd like to take a second look at your account from our end. Please email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",2,I pointed these fraudulent purchases…
Had the worst experience. Been 2 months and account is not verified. Trash support. ,2024-04-23T14:21:59.000Z,2024-04-23T14:43:52.000Z,"April 18, 2024",Jatin Negi,Rated 1 out of 5 stars,"Hi Jatin! We're incredibly sorry the experience has been less than positive here. We'd like to take a second look at your account verification from our end. Please email us directly at heretohelp@stripe.com, and we'll follow up as soon as possible.",1,Had the worst experience
Great support staff who helped my iron out my issues,2024-04-23T14:06:03.000Z,2024-04-23T14:18:49.000Z,"April 19, 2024",Paul W,Rated 5 out of 5 stars,"Hi Paul, that’s great to hear! Thanks for sharing your wonderful feedback. We’re constantly striving to provide a positive support experience, and we greatly appreciate reading your kind words.",1,Great support staff who helped my iron…
Yes stripe made a good experience and this company is doing very well keep it up,2024-04-23T14:04:17.000Z,2024-04-23T14:16:26.000Z,"April 23, 2024",Abdul Rehman,Rated 5 out of 5 stars,"Hi Abdul—we're happy to hear you're enjoying the service and really appreciate your feedback. If there's anything we can do to assist you going forward, please don't hesitate to get in touch with our support team or via email at heretohelp@stripe.com.",1,Yes stripe made a good experience and…
"Why are most of the good review of Stripe ""invited?"" Stripe has illegally withheld monies from my small business for several months now. They change their reason why and keep delaying the release thereof. I have no chargebacks, no refunds, no complaints. You can't call them, and countless emails to them either go unanswered, or they respond with a generic reply that ""they are investigating"" or ""they will get back to you"" by a certain date, only to extend the date they will get back to you. I suspect they do this, to use their small business merchant's capital for free (think of it, using millions of dollars interest fee-especially during inflation). They will inform you, the merchant is in breach, but actually I feel it is Stripe in breach. I'm investigating further, by compiling complaints on the web, contacting government regulatory agencies, web searching court cases, and contacting industry journalists. See Better Business Bureau for over 1,000 complaints with Stripe. Hopefully a class action suit can evolve from all these complainants.",2024-04-23T21:11:42.000Z,2024-04-23T11:01:04.000Z,"March 11, 2024",Ed K,Rated 1 out of 5 stars,"Hi JM, we're sorry about your negative experience using our service. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate. We've already received your Complaints via email, and we'll continue assisting you from there. We are still actively looking into your case and we will let you know as soon as we have an update to share. If you have any follow up questions feel free to reach out to us directly at heretohelp@stripe.com.",2,Stripe has illegally withheld monies to date
No reply from customer service team after holding 5k pounds in the stripe. ,2024-04-22T15:23:33.000Z,NA,"April 21, 2024",UkCompany,Rated 1 out of 5 stars,NA,2,No reply from customer service team…
"our website was attacked by card hackers (buying a dowloadable book), 1) they never emailed us to alert us to the issues (depiste many thousads card attempts per hour) and 2) they allowed many hundreds of fraudulent transactions to be paid, whihc have each resulted in a £20 dispute fee charged by them, which has costs us £thousands",2024-04-22T10:45:49.000Z,2024-04-22T11:27:12.000Z,"March 22, 2024",Daniel Start,Rated 1 out of 5 stars,"Hi Daniel, thanks for reaching out and we're sorry to hear this. Card testers employ a wide variety of techniques to make their fraudulent activity difficult to block. If you suspect you are currently experiencing a card testing attack, you may follow the steps provided on the links below to mitigate this from happening again:",16,they allowed hundreds of fraudulent payments to be porcessed and never told us
As a company trading for 5 years with Stripe ,2024-04-22T10:20:27.000Z,2024-04-22T10:46:24.000Z,"April 22, 2024",Kieron,Rated 1 out of 5 stars,"Hi Kieron, thanks for reaching out and we're incredibly sorry the experience has been less than positive here! For context, the “Know Your Customer” (KYC) obligations for payments require Stripe to collect and maintain information on all Stripe account holders. These requirements come from our regulators and are intended to prevent abuse of the financial system [0]. If, at any time, we are unable to confirm that your business meets these checks or requirements, we may ask you to send us more information to fix the problem. Depending on the severity of the issue, your account may not be able to process payments or receive transfers/payouts until the issue is resolved. Please email us at heretohelp@stripe.com, and we’ll be happy to take another look.",2,Waste of time!!
"I can't even begin to tell you guys how much stress Stripe has caused me and other friends that I know. We all run completely legit businesses and we were running smoothly until stripe decided that my business was risky and completely held my money. ($35k +). It has now been over 5 months and they simply don't respond to emails, messages, or anything. They simply don't care. They have never ever given an explanation as to why they are holding on to my money and simply send emails saying its in their terms and conditions to hold on to your money forever if they wish to. My business had extremely low chargeback rates and we won almost ALL of those that were there. This is absurd and extremely unethical. They will respond to reviews saying email us and we will look into it but they are simply doing that so that people who are reading the reviews can think that they will do something. Look for yourselves at how low the ratings are here on Trustpilot. DO NOT USE STRIPE. There are many other payment processors out there and none of them will EVER do these type of unethical things. Shame on you Stripe! Shame on you! ",2024-04-22T00:31:56.000Z,NA,"April 21, 2024",Marcos Emanuel Cabral,Rated 1 out of 5 stars,NA,7,DON'T USE STRIPE AT ALL COSTS!
"Dear Valued Customers,",2024-04-21T21:29:42.000Z,2024-04-21T21:43:47.000Z,"April 19, 2024",Carlos Garcia,Rated 1 out of 5 stars,"Hi Carlos. We're sorry to hear about this. We have received your email, and our team is currently waiting for your response on the same email thread. ",1,Account Termination and Fund Blocking
Stripe's Deceptive Tactics Will Empty Your Business,2024-04-21T07:12:24.000Z,2024-04-21T07:23:10.000Z,"April 19, 2024",Naseem Khan,Rated 1 out of 5 stars,"Hi Naseem, we’re sorry to hear that you've experienced this issue. Please write to us at heretohelp@stripe.com with ‘Trustpilot’ in the subject line. We’ll be more than happy to look into this for you.",1,Stripe's Deceptive Tactics Will Empty…
"My attempt to create an account with Stripe was met with unforeseen difficulties, as my application was declined without explanation. Given my limited expertise in IT matters, I reached out via email multiple times requesting a phone call, as no direct calling option was available. Unfortunately, the lack of responsiveness and apparent indifference to new client concerns left me dissatisfied. Consequently, I cannot in good conscience recommend this platform. I would advise exploring alternative payment methods such as Skrill and Square, which may offer more responsive customer service and support for new users.",2024-04-20T21:35:11.000Z,NA,"April 18, 2024",Lennoxs,Rated 1 out of 5 stars,NA,2,My attempt to create an account with…
After waiting for a refund from the cycle shop for a week I emailed them and they screenshot the reply from Stripe which read that stripe tried to send the money to my bank account and getting in touch with the bank there had been no activity of anyone trying to refund money to my account. Lies comes to mind because if they can hold onto people's money they will be making the interest. The bike shop said it is now going through which is a bit strange because why didn't the bank refuse it again??!!. I'm not expecting my money in the near future and when I do eventually get it will the interest be with it. I wouldn't trust stripe again after this experience. I THINK STRIPE ARE HOLDING MY MONEY TO GET THE INTEREST. BE AWARE BEFORE USING THEM. Just been told I will get my refund in 1-5 days which I don't believe... I can transfer money instantly why can't Stripe??... Because they hold onto your money as long as they can and it comes to a point will you get your money back. They told me to put a dispute in with my bank!!!... They are only receiving my money not messing about with it like Stripe... Stripe are the culprits here making interest off my money... Avoid at all costs.,2024-04-22T14:21:07.000Z,2024-04-20T18:51:15.000Z,"April 20, 2024",Kevin Clsrridge,Rated 1 out of 5 stars,"Hi Kevin! Thanks for reaching out to us here. We understand that you’re concerned about a refund that you’ve requested from a merchant that is using Stripe. Refunds typically take 5–10 business days to process; your funds may be on their way to you currently. If you haven't received your refund after 10 business days, please check with the business to get a proof of refund and reach out to your bank. It's likely you will need to speak to the Treasury Department of your bank to understand where your refund is. If the merchant is experiencing errors in processing the refund, please let them contact us. Otherwise, the best and quickest way for you to receive your funds back is to get in touch with your bank and file a dispute against them. Please note that the outcome of a dispute is decided entirely by your bank. To inquire about the status or outcome of a dispute, you will need to contact your bank. The following document might offer you some insightful information about the dispute process: https://support.stripe.com/questions/disputing-a-purchase-made-through-stripe",10,Lying about refund
"Stripe blocks the account after some time and does not pay out the money. I contacted support, they said they would pay out after 120 days, but after that time I contacted them again and got a response that they will not refund my money! Fraud, I do not recommend it!",2024-04-20T12:17:19.000Z,2024-04-20T12:34:30.000Z,"April 20, 2024",Dawid,Rated 1 out of 5 stars,"Hi Dawid, we're sorry to hear this. Stripe may put a reserve on an account if it is deemed high risk to mitigate against potential future disputes. Please email us at heretohelp@stripe.com with your account details, and we will investigate from our side.",1,Stripe does not pay out funds.
Stripe has repeatedly held funds based on repetitive untrue reasons like “your site isn’t working” when it clearly is. Every two days they come up with another reason to hold funds. We have customers all over the world using the site and making purchases. They have been holding funds on and off for two months and take days to review issues that they have no proof of. I  am cancelling service and still having trouble collecting my money as I write this. It feels like a scam to use our money for their own purposes. Small businesses can not take risk like not being able to collect their hard earned money on a whim. Beware. ,2024-04-20T04:46:03.000Z,2024-04-20T04:58:51.000Z,"April 18, 2024",Sue & Arn FredaKrebs,Rated 1 out of 5 stars,"Hi Sue & Arn, we're very sorry to hear about the difficulty in getting your payouts due to the account review. We'll be happy to look into this and investigate the matter. Please email us at heretohelp@stripe.com and we'll follow up as soon as possible.",2,Stripe has repeatedly held funds based…
"Trying to integrate Stripe custom form into my website was impossible, every time I contacted Stripe I got no support other than bombarded with links to pointless pages of information that leave you with more questions. ",2024-04-19T12:06:44.000Z,2024-04-19T12:30:05.000Z,"April 19, 2024",Mark Creighton,Rated 1 out of 5 stars,"Hi Mark, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. We have comprehensive support pages containing instructions on how to integrate your website to Stripe here [0] [1] [2]. If you'd like to clarify further, please feel free to email us at heretohelp@stripe.com, and we’ll be happy to assist.",1,Trying to integrate Stripe custom form…
